,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
6910,6910,2021-10-12 20:00:00,55304.9,56480.4,55047.2,56018.7,8,1.0
6911,6911,2021-10-13 00:00:00,56407.3,56538.7,55987.6,54557.1,8,-1.0
6912,6912,2021-10-13 04:00:00,56018.8,56156.4,54450.0,54987.7,8,-1.0
6913,6913,2021-10-13 08:00:00,54556.1,55279.5,54216.7,56881.2,8,1.0
6914,6914,2021-10-13 12:00:00,54988.5,57049.3,54464.7,56919.4,8,1.0
6915,6915,2021-10-13 16:00:00,56881.2,57424.8,56598.8,57641.3,8,1.0
6916,6916,2021-10-13 20:00:00,56957.1,57709.0,56851.7,57925.7,8,1.0
6917,6917,2021-10-14 00:00:00,57655.2,58452.4,57572.1,57406.6,8,-1.0
6918,6918,2021-10-14 04:00:00,57926.9,58040.8,57289.3,57505.7,8,-1.0
6919,6919,2021-10-14 08:00:00,57408.1,58090.7,57169.0,57061.9,8,-1.0
6920,6920,2021-10-14 12:00:00,57505.7,57755.9,56939.8,57377.3,8,-1.0
6921,6921,2021-10-14 16:00:00,57061.9,58016.2,56792.4,57000.5,8,-1.0
6922,6922,2021-10-14 20:00:00,57412.4,57704.9,57000.0,59541.9,8,1.0
6923,6923,2021-10-15 00:00:00,57000.3,59657.5,56821.0,58887.5,8,1.0
6924,6924,2021-10-15 04:00:00,59543.0,59935.3,58757.0,59216.0,8,-1.0
6925,6925,2021-10-15 08:00:00,58887.8,59522.0,58702.1,61389.1,8,1.0
6926,6926,2021-10-15 12:00:00,59211.1,61451.4,59173.2,62456.6,8,1.0
6927,6927,2021-10-15 16:00:00,61389.1,62799.6,61052.2,61137.7,8,-1.0
6928,6928,2021-10-15 20:00:00,62457.1,62477.9,60728.9,62382.3,2,-1.0
6929,6929,2021-10-17 20:00:00,59347.6,62391.5,59246.1,62303.9,8,1.0
6930,6930,2021-10-18 00:00:00,62383.6,62509.6,61846.6,61737.6,8,-1.0
6931,6931,2021-10-18 04:00:00,62306.1,62619.6,61500.0,60555.6,8,-1.0
6932,6932,2021-10-18 08:00:00,61740.4,62087.2,60244.3,61769.9,8,1.0
6933,6933,2021-10-18 12:00:00,60555.7,62310.6,59837.4,61305.0,8,1.0
