,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
332,332,5506,5506,2020-11-27 08:00:00,16824,17179,16587,17051,8
333,333,4834,4834,2020-06-26 04:00:00,9194,9204,9031,9063,61
334,334,3086,3086,2019-05-14 04:00:00,7962,8278,7858,7937,38
335,335,3156,3156,2019-05-29 20:00:00,8584,8642,8555,8624,16
336,336,4197,4197,2020-01-30 00:00:00,9201,9280,9170,9253,130
337,337,2532,2532,2019-01-07 08:00:00,3985,3988,3914,3939,8
338,338,2752,2752,2019-02-25 20:00:00,3768,3772,3744,3760,44
339,339,3944,3944,2019-11-29 04:00:00,7423,7487,7398,7452,101
340,340,3369,3369,2019-07-18 08:00:00,9671,9833,9284,9342,156
341,341,7964,7964,2022-06-08 12:00:00,30085,30819,29994,30267,8
342,342,6853,6853,2021-09-29 16:00:00,41437,41513,40849,41065,8
343,343,6136,6136,2021-04-20 20:00:00,56745,57059,55619,55667,8
344,344,2141,2141,2018-10-08 00:00:00,6524,6547,6510,6521,8
345,345,3530,3530,2019-08-26 04:00:00,10283,10351,10210,10277,107
346,346,1773,1773,2018-07-12 16:00:00,6126,6130,6098,6110,135
347,347,7707,7707,2022-04-12 00:00:00,39525,39913,39258,39887,8
348,348,1168,1168,2018-02-22 08:00:00,10396,10516,9815,9866,185
349,349,606,606,2017-10-17 04:00:00,5667,5685,5608,5680,230
350,350,2672,2672,2019-02-07 00:00:00,3305,3315,3305,3311,8
351,351,4208,4208,2020-02-02 20:00:00,9377,9387,9226,9340,71
352,352,6449,6449,2021-06-30 08:00:00,34560,34985,34395,34607,8
353,353,7849,7849,2022-05-13 00:00:00,29430,30636,29133,30338,8
354,354,944,944,2018-01-03 04:00:00,15054,15373,14981,15101,159
355,355,4212,4212,2020-02-03 12:00:00,9270,9282,9187,9189,90
356,356,5706,5706,2021-01-13 12:00:00,34189,35031,34008,34712,8
357,357,3376,3376,2019-07-19 12:00:00,10453,10455,10068,10323,162
358,358,1581,1581,2018-05-29 16:00:00,7368,7456,7352,7432,215
359,359,7807,7807,2022-05-04 04:00:00,37950,39000,37934,38922,8
360,360,2146,2146,2018-10-08 20:00:00,6589,6604,6537,6574,8
361,361,3391,3391,2019-07-24 00:00:00,9620,9656,9520,9580,81
362,362,7922,7922,2022-05-30 16:00:00,30535,31329,30484,31298,8
363,363,997,997,2018-01-15 16:00:00,14081,14128,13638,13660,86
364,364,2935,2935,2019-04-09 00:00:00,5188,5225,5154,5166,11
365,365,2483,2483,2018-12-24 20:00:00,3968,4010,3965,4005,3
366,366,7754,7754,2022-04-21 16:00:00,41788,41958,40508,40559,8
367,367,3469,3469,2019-08-12 00:00:00,11408,11460,11340,11357,61
368,368,507,507,2017-09-22 16:00:00,3561,3626,3527,3614,267
369,369,5153,5153,2020-09-09 08:00:00,10138,10253,10129,10173,8
370,370,3495,3495,2019-08-16 08:00:00,10000,10161,9745,10144,130
